"filename", "language", "Ruby", "comment", "blank", "total"
"/workspaces/RiseNote/db/migrate/20231206015015_devise_create_users.rb", "Ruby", -35, 0, -10, -45
"/workspaces/RiseNote/db/migrate/20231206021443_create_memos.rb", "Ruby", -10, 0, -2, -12
"/workspaces/RiseNote/db/migrate/20231206053801_create_memos_tags.rb", "Ruby", -9, 0, -2, -11
"/workspaces/RiseNote/db/migrate/20231206054007_create_tags.rb", "Ruby", -8, 0, -2, -10
"/workspaces/RiseNote/db/migrate/20231206060443_add_admin_to_users.rb", "Ruby", -5, 0, -1, -6
"/workspaces/RiseNote/db/migrate/20231210055705_create_folders.rb", "Ruby", -8, 0, -2, -10
"/workspaces/RiseNote/db/migrate/20231210055912_add_folder_to_memos.rb", "Ruby", -5, 0, -1, -6
"/workspaces/RiseNote/db/migrate/20231213051444_add_user_to_folders.rb", "Ruby", -5, 0, -1, -6
"/workspaces/RiseNote/db/migrate/20231220115832_add_username_to_users.rb", "Ruby", -5, 0, -1, -6
"/workspaces/RiseNote/db/migrate/20231223154132_create_missions.rb", "Ruby", -11, 0, -2, -13
"/workspaces/RiseNote/db/migrate/20231223154143_add_rank_and_points_to_users.rb", "Ruby", -6, 0, -1, -7
"/workspaces/RiseNote/db/migrate/20231223154523_create_user_missions.rb", "Ruby", -10, 0, -2, -12
"/workspaces/RiseNote/db/migrate/20240112030518_create_posts.rb", "Ruby", -10, 0, -2, -12
"/workspaces/RiseNote/db/migrate/20240115021156_add_read_to_posts.rb", "Ruby", -5, 0, -1, -6
"/workspaces/RiseNote/db/schema.rb", "Ruby", -90, 0, -10, -100
"/workspaces/RiseNote/db/seeds.rb", "Ruby", -7, 0, -1, -8
"/workspaces/RiseNote/test/application_system_test_case.rb", "Ruby", 4, 0, 2, 6
"/workspaces/RiseNote/test/channels/application_cable/connection_test.rb", "Ruby", 10, 0, 2, 12
"/workspaces/RiseNote/test/controllers/folders_controller_test.rb", "Ruby", 6, 0, 2, 8
"/workspaces/RiseNote/test/controllers/hello_codespaces_controller_test.rb", "Ruby", 7, 0, 2, 9
"/workspaces/RiseNote/test/controllers/home_controller_test.rb", "Ruby", 6, 0, 2, 8
"/workspaces/RiseNote/test/controllers/learning_records_controller_test.rb", "Ruby", 7, 0, 2, 9
"/workspaces/RiseNote/test/controllers/memos_controller_test.rb", "Ruby", 6, 0, 2, 8
"/workspaces/RiseNote/test/controllers/missions_controller_test.rb", "Ruby", 7, 0, 2, 9
"/workspaces/RiseNote/test/controllers/posts_controller_test.rb", "Ruby", 15, 0, 4, 19
"/workspaces/RiseNote/test/controllers/static_pages_controller_test.rb", "Ruby", 11, 0, 3, 14
"/workspaces/RiseNote/test/controllers/tags_controller_test.rb", "Ruby", 15, 0, 4, 19
"/workspaces/RiseNote/test/controllers/users_controller_test.rb", "Ruby", 6, 0, 2, 8
"/workspaces/RiseNote/test/models/folder_test.rb", "Ruby", 6, 0, 2, 8
"/workspaces/RiseNote/test/models/memo_test.rb", "Ruby", 6, 0, 2, 8
"/workspaces/RiseNote/test/models/mission_test.rb", "Ruby", 6, 0, 2, 8
"/workspaces/RiseNote/test/models/post_test.rb", "Ruby", 6, 0, 2, 8
"/workspaces/RiseNote/test/models/tag_test.rb", "Ruby", 6, 0, 2, 8
"/workspaces/RiseNote/test/models/user_mission_test.rb", "Ruby", 6, 0, 2, 8
"/workspaces/RiseNote/test/models/user_test.rb", "Ruby", 6, 0, 2, 8
"/workspaces/RiseNote/test/test_helper.rb", "Ruby", 10, 0, 4, 14
"Total", "-", -77, 0, 6, -71
